nombre,fecha,diametro_min_km,diametro_max_km,velocidad_km_h,distancia_tierra_km
(2025 EG2),2025-03-15,0.0325952996,0.0728853056,41664.7427093071,7436150.604098816
(2025 EV2),2025-03-15,0.0740892122,0.1656685148,66303.049395613,27890103.325389768
(2025 EF4),2025-03-15,0.0295634406,0.0661058629,21071.0872989614,458909.328210678
325102 (2008 EY5),2025-03-16,0.2457847746,0.5495914639,108637.2446708416,69739452.488495334
(2013 EG68),2025-03-16,0.0278326768,0.0622357573,67243.2866980139,22143040.953764477
(2016 QE44),2025-03-16,0.1289896833,0.2884297004,65594.6880618884,28319657.452524808
(2018 GJ2),2025-03-16,0.2016299194,0.4508582062,44018.056405355,23280693.321115945
(2020 UF2),2025-03-16,0.1198270801,0.2679414966,53793.0697120013,27889193.41130528
(2021 RU7),2025-03-16,0.0537718498,0.1202375114,42801.8669948387,22378852.689596744
(2022 QF7),2025-03-16,0.1034081995,0.2312277636,71284.9489431026,74763912.852091318
(2024 DQ),2025-03-16,0.0282198679,0.063101543,27998.1402300501,30238534.236589725
(2024 TT5),2025-03-16,0.0313729225,0.0701519874,60256.3484565702,44033322.677797997
(2024 XD11),2025-03-16,0.0064055286,0.0143231974,5073.278189347,20046190.605637534
(2025 EC1),2025-03-16,0.0142545981,0.0318742503,23374.4040006384,3281813.879613983
(2010 XA11),2025-03-17,0.0160160338,0.0358129403,58604.0820539483,26025592.875647706
(2015 FN35),2025-03-17,0.0477040198,0.1066694311,71316.5783783796,41798940.081398673
(2018 TD2),2025-03-17,0.0133215567,0.0297879063,74534.3360184618,73826392.171150749
(2020 AB2),2025-03-17,0.0105816886,0.023661375,24830.0150564839,48738059.706069386
(2022 DX3),2025-03-17,0.0223128464,0.0498930414,54330.3234117889,53070093.941666734
(2023 EF),2025-03-17,0.0154367182,0.0345175513,15672.8669984607,19128895.317364373
(2024 XA8),2025-03-17,0.0712122941,0.1592355304,32021.8579372089,14996847.254329775
